0,1,2,adult,budget,credits,imdbId,movieId,overview,popularity,production_countries,release_date,revenue,runtime,tmdbId,vote_average
38,It Takes Two (1995),Comedy,0.0,0.0,Andy Tennant,113442.0,38.0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.8839999999999995,United States of America,1995-11-17,0.0,101.0,33689.0,6.3
39,Clueless (1995),Comedy|Romance,0.0,12000000.0,Amy Heckerling,112697.0,39.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.574,United States of America,1995-07-19,56631572.0,97.0,9603.0,7.2
40,"Cry, the Beloved Country (1995)",Drama,0.0,0.0,Darrell James Roodt,112749.0,40.0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,1.4,South Africa,1995-12-15,676525.0,106.0,34615.0,6.7
41,Richard III (1995),Drama|War,0.0,0.0,Richard Loncraine,114279.0,41.0,Shakespeare's Play transplanted into a 1930s setting.,6.236000000000001,United Kingdom,1995-12-29,0.0,104.0,31174.0,6.9
42,Dead Presidents (1995),Action|Crime|Drama,0.0,10000000.0,Albert Hughes,112819.0,42.0,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",8.422,United States of America,1995-10-06,0.0,119.0,11443.0,6.6
43,Restoration (1995),Drama,0.0,19000000.0,Michael Hoffman,114272.0,43.0,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",5.247000000000001,United States of America,1995-12-29,0.0,117.0,35196.0,6.5
44,Mortal Kombat (1995),Action|Adventure,0.0,18000000.0,Paul W.S. Anderson,113855.0,44.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",7.478,United States of America,1995-08-18,122195920.0,101.0,9312.0,5.6
45,To Die For (1995),Comedy|Drama,0.0,20000000.0,Gus Van Sant,114681.0,45.0,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",6.456,Canada,1995-09-22,21284514.0,106.0,577.0,6.7
46,How to Make an American Quilt (1995),Drama|Romance,0.0,10000000.0,Jocelyn Moorhouse,113347.0,46.0,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",6.848,United States of America,1995-10-06,23574130.0,116.0,11861.0,6.3
47,Seven (Se7en) (1995),Crime|Thriller,,,,,,,,,,,,,
48,Pocahontas (1995),Animation|Children's|Musical|Romance,,,,114148.0,48.0,,,,,,,10530.0,
49,When Night Is Falling (1995),Drama|Romance,,,,114916.0,49.0,,,,,,,8391.0,
50,"Usual Suspects, The (1995)",Crime|Thriller,,,,114814.0,50.0,,,,,,,629.0,
51,Guardian Angel (1994),Action|Drama|Thriller,,,,109950.0,51.0,,,,,,,117164.0,
52,Mighty Aphrodite (1995),Comedy,,,,113819.0,52.0,,,,,,,11448.0,
53,Lamerica (1994),Drama,,,,110299.0,53.0,,,,,,,49133.0,
54,"Big Green, The (1995)",Children's|Comedy,0.0,0.0,Holly Goldberg Sloan,112499.0,54.0,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",5.376,United States of America,1995-09-29,0.0,100.0,26441.0,5.1
55,Georgia (1995),Drama,0.0,0.0,Ulu Grosbard,113158.0,55.0,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",2.125,France,1995-05-19,0.0,115.0,97406.0,6.3
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,0.0,0.0,Robert Tinnell,113541.0,56.0,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",0.6,,1997-07-08,0.0,89.0,124057.0,4.0
57,Home for the Holidays (1995),Drama,0.0,0.0,Jodie Foster,113321.0,57.0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",4.883,United States of America,1995-11-02,17519169.0,103.0,9089.0,6.3
58,"Postino, Il (The Postman) (1994)",Drama|Romance,,,,,,,,,,,,,
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,,,,,,,,,,,,,
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,0.0,45000000.0,Frank Oz,113419.0,60.0,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,5.9239999999999995,United States of America,1995-07-14,0.0,96.0,11359.0,6.0
61,Eye for an Eye (1996),Drama|Thriller,0.0,20000000.0,John Schlesinger,116260.0,61.0,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",6.099,United States of America,1996-01-12,26877589.0,101.0,17182.0,6.0
62,Mr. Holland's Opus (1995),Drama,0.0,0.0,Stephen Herek,113862.0,62.0,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",6.143,United States of America,1995-12-29,106269971.0,137.0,2054.0,7.1
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,0.0,0.0,Paris Barclay,116126.0,63.0,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",10.842,United States of America,1996-01-12,0.0,89.0,10607.0,6.2
64,Two if by Sea (1996),Comedy|Romance,0.0,0.0,Bill Bennett,118002.0,64.0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",2.665,United States of America,1996-01-12,0.0,96.0,19760.0,4.8
65,Bio-Dome (1996),Comedy,0.0,15000000.0,Bradley Jenkel,115683.0,65.0,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",6.742000000000001,United States of America,1996-01-12,0.0,95.0,9536.0,4.4
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,0.0,0.0,Farhad Mann,116839.0,66.0,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",6.087000000000001,United States of America,1996-01-12,2409225.0,92.0,11525.0,2.9
67,Two Bits (1995),Drama,0.0,0.0,Joseph Stefano,114753.0,67.0,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",1.835,United States of America,1995-10-22,0.0,85.0,40628.0,5.8
68,French Twist (Gazon maudit) (1995),Comedy|Romance,0.0,0.0,Josiane Balasko,113149.0,68.0,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",5.002,France,1995-02-08,0.0,95.0,4482.0,6.2
69,Friday (1995),Comedy,0.0,3500000.0,F. Gary Gray,113118.0,69.0,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",12.42,United States of America,1995-04-26,28215918.0,91.0,10634.0,7.1
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,0.0,19000000.0,Robert Rodriguez,116367.0,70.0,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.039000000000001,United States of America,1996-01-19,25836616.0,108.0,755.0,7.0
71,Fair Game (1995),Action,0.0,50000000.0,Andrew Sipes,113010.0,71.0,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",9.308,United States of America,1995-11-03,11534477.0,91.0,11859.0,4.1
72,Kicking and Screaming (1995),Comedy|Drama,0.0,0.0,Noah Baumbach,113537.0,72.0,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",2.9939999999999998,United States of America,1995-10-06,718490.0,96.0,28387.0,6.9
73,"Mis�rables, Les (1995)",Drama|Musical,,,,,,,,,,,,,
74,Bed of Roses (1996),Drama|Romance,,,,115644.0,74.0,,,,,,,20927.0,
75,Big Bully (1996),Comedy|Drama,,,,115676.0,75.0,,,,,,,36929.0,
76,Screamers (1995),Sci-Fi|Thriller,,,,114367.0,76.0,,,,,,,9102.0,
77,Nico Icon (1995),Documentary,,,,113973.0,77.0,,,,,,,124626.0,
78,"Crossing Guard, The (1995)",Drama,,,,112744.0,78.0,,,,,,,27526.0,
79,"Juror, The (1996)",Drama|Thriller,,,,116731.0,79.0,,,,,,,9623.0,
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,,,,,,,,,,,,,
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,,,,,,,,,,,,,
82,Antonia's Line (Antonia) (1995),Drama,0.0,900000.0,Marleen Gorris,112379.0,82.0,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",3.9410000000000003,Netherlands,1995-09-12,0.0,102.0,880.0,7.4
83,Once Upon a Time... When We Were Colored (1995),Drama,0.0,0.0,Tim Reid,114039.0,83.0,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",0.659,United States of America,1996-01-26,0.0,115.0,146599.0,4.5
84,Last Summer in the Hamptons (1995),Comedy|Drama,0.0,0.0,Henry Jaglom,113612.0,84.0,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.",0.6,,1995-11-22,0.0,108.0,188588.0,0.0
85,Angels and Insects (1995),Drama|Romance,0.0,0.0,Philip Haas,112365.0,85.0,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",1.579,United Kingdom,1995-09-10,0.0,118.0,8447.0,6.5
86,White Squall (1996),Adventure|Drama,0.0,38000000.0,Ridley Scott,118158.0,86.0,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,6.542000000000001,United States of America,1996-02-02,10300000.0,129.0,10534.0,6.3
87,Dunston Checks In (1996),Children's|Comedy,0.0,16000000.0,Ken Kwapis,116151.0,87.0,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",5.6339999999999995,United States of America,1996-01-12,0.0,88.0,17414.0,5.1
88,Black Sheep (1996),Comedy,0.0,0.0,Penelope Spheeris,115697.0,88.0,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",7.473,United States of America,1996-02-01,32.0,87.0,13997.0,6.1
89,Nick of Time (1995),Action|Thriller,0.0,8169363.0,John Badham,113972.0,89.0,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",7.232,United States of America,1995-11-22,8175346.0,90.0,2086.0,6.1
90,"Journey of August King, The (1995)",Drama,0.0,0.0,John Duigan,113490.0,90.0,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner.",0.6809999999999999,United States of America,1995-09-14,0.0,91.0,61548.0,6.7
92,Mary Reilly (1996),Drama|Thriller,0.0,47000000.0,Christopher Hampton,117002.0,92.0,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",8.435,United States of America,1996-02-23,12379402.0,104.0,9095.0,5.8
93,Vampire in Brooklyn (1995),Comedy|Romance,0.0,14000000.0,Wes Craven,114825.0,93.0,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",8.523,United States of America,1995-10-26,19800000.0,100.0,12158.0,4.7
94,Beautiful Girls (1996),Drama,0.0,0.0,Ted Demme,115639.0,94.0,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",8.805,United States of America,1996-02-09,0.0,112.0,9283.0,6.8
95,Broken Arrow (1996),Action|Thriller,0.0,50000000.0,Graham Yost,115759.0,95.0,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",9.506,United States of America,1996-02-09,150270147.0,108.0,9208.0,5.9
